KD2 vs codex-rust-v0.143.0 full semantic file inventory
Base: C:\Users\kuh\Desktop\codex-rust-v0.143.0\codex-rs
KD2:  C:\Users\kuh\Desktop\codexKD2\codex-rs
Source TSV: C:\Users\kuh\Desktop\kd4\kd2_vs_0_143_semantic_inventory.tsv
Columns: status | top | ext | base_bytes | kd2_bytes | rel

added_in_kd2 | .cargo | .md |  | 322 | .cargo\README.md
added_in_kd2 | .config | .md |  | 333 | .config\README.md
added_in_kd2 | .github | .md |  | 376 | .github\README.md
added_in_kd2 | agent-graph-store | .md |  | 331 | agent-graph-store\README.md
added_in_kd2 | agent-graph-store | .md |  | 114 | agent-graph-store\src\README.md
added_in_kd2 | agent-identity | .md |  | 360 | agent-identity\README.md
added_in_kd2 | agent-identity | .md |  | 111 | agent-identity\src\README.md
added_in_kd2 | AGENTS.md | .md |  | 9972 | AGENTS.md
added_in_kd2 | analytics | .md |  | 87 | analytics\README.md
added_in_kd2 | analytics | .md |  | 106 | analytics\src\README.md
added_in_kd2 | ansi-escape | .md |  | 108 | ansi-escape\src\README.md
added_in_kd2 | app-server-client | .md |  | 114 | app-server-client\src\README.md
added_in_kd2 | app-server-daemon | .md |  | 124 | app-server-daemon\src\backend\README.md
added_in_kd2 | app-server-daemon | .md |  | 114 | app-server-daemon\src\README.md
added_in_kd2 | app-server-protocol | .md |  | 1496 | app-server-protocol\AGENTS.md
added_in_kd2 | app-server-protocol | .md |  | 162 | app-server-protocol\README.md
added_in_kd2 | app-server-protocol | .md |  | 119 | app-server-protocol\schema\README.md
added_in_kd2 | app-server-protocol | .ts |  | 248 | app-server-protocol\schema\typescript\AnswerMode.ts
added_in_kd2 | app-server-protocol | .ts |  | 1372 | app-server-protocol\schema\typescript\ApiPathString.ts
added_in_kd2 | app-server-protocol | .ts |  | 224 | app-server-protocol\schema\typescript\DiscoveryDepth.ts
added_in_kd2 | app-server-protocol | .ts |  | 860 | app-server-protocol\schema\typescript\ExecutionScope.ts
added_in_kd2 | app-server-protocol | .ts |  | 202 | app-server-protocol\schema\typescript\MutationMode.ts
added_in_kd2 | app-server-protocol | .ts |  | 1779 | app-server-protocol\schema\typescript\PathUri.ts
added_in_kd2 | app-server-protocol | .ts |  | 224 | app-server-protocol\schema\typescript\RealtimeConversationArchitecture.ts
added_in_kd2 | app-server-protocol | .ts |  | 211 | app-server-protocol\schema\typescript\ResponseItemMetadata.ts
added_in_kd2 | app-server-protocol | .ts |  | 289 | app-server-protocol\schema\typescript\ScopeKind.ts
added_in_kd2 | app-server-protocol | .ts |  | 268 | app-server-protocol\schema\typescript\ServerBuildInfo.ts
added_in_kd2 | app-server-protocol | .ts |  | 294 | app-server-protocol\schema\typescript\ServerCapabilities.ts
added_in_kd2 | app-server-protocol | .ts |  | 241 | app-server-protocol\schema\typescript\ServerLocalWatermark.ts
added_in_kd2 | app-server-protocol | .ts |  | 375 | app-server-protocol\schema\typescript\ServerPackageLayout.ts
added_in_kd2 | app-server-protocol | .ts |  | 610 | app-server-protocol\schema\typescript\ServerRuntimeInfo.ts
added_in_kd2 | app-server-protocol | .ts |  | 247 | app-server-protocol\schema\typescript\ServerRuntimeWarning.ts
added_in_kd2 | app-server-protocol | .ts |  | 372 | app-server-protocol\schema\typescript\v2\EnvironmentShellInfo.ts
added_in_kd2 | app-server-protocol | .md |  | 122 | app-server-protocol\src\bin\README.md
added_in_kd2 | app-server-protocol | .rs |  | 2659 | app-server-protocol\src\jsonrpc_lite.rs
added_in_kd2 | app-server-protocol | .md |  | 127 | app-server-protocol\src\protocol\README.md
added_in_kd2 | app-server-protocol | .rs |  | 1854 | app-server-protocol\src\protocol\server_info.rs
added_in_kd2 | app-server-protocol | .rs |  | 2217 | app-server-protocol\src\protocol\v2\item_command.rs
added_in_kd2 | app-server-protocol | .rs |  | 1300 | app-server-protocol\src\protocol\v2\item_memory.rs
added_in_kd2 | app-server-protocol | .md |  | 132 | app-server-protocol\src\protocol\v2\README.md
added_in_kd2 | app-server-protocol | .md |  | 116 | app-server-protocol\src\README.md
added_in_kd2 | app-server-protocol | .md |  | 134 | app-server-protocol\src\schema_fixtures\README.md
added_in_kd2 | app-server-protocol | .md |  | 118 | app-server-protocol\tests\README.md
added_in_kd2 | app-server-test-client | .md |  | 123 | app-server-test-client\scripts\README.md
added_in_kd2 | app-server-test-client | .rs |  | 3415 | app-server-test-client\src\process.rs
added_in_kd2 | app-server-test-client | .md |  | 119 | app-server-test-client\src\README.md
added_in_kd2 | app-server-transport | .md |  | 98 | app-server-transport\README.md
added_in_kd2 | app-server-transport | .md |  | 117 | app-server-transport\src\README.md
added_in_kd2 | app-server-transport | .md |  | 129 | app-server-transport\src\transport\README.md
added_in_kd2 | app-server-transport | .md |  | 146 | app-server-transport\src\transport\remote_control\README.md
added_in_kd2 | app-server-transport | .md |  | 154 | app-server-transport\src\transport\remote_control\tests\README.md
added_in_kd2 | app-server | .md |  | 1883 | app-server\AGENTS.md
added_in_kd2 | app-server | .rs |  | 84 | app-server\build.rs
added_in_kd2 | app-server | .rs |  | 2568 | app-server\src\bespoke_event_handling\turn_notifications.rs
added_in_kd2 | app-server | .md |  | 113 | app-server\src\bin\README.md
added_in_kd2 | app-server | .rs |  | 1315 | app-server\src\build_info.rs
added_in_kd2 | app-server | .rs |  | 389 | app-server\src\channel_defaults.rs
added_in_kd2 | app-server | .rs |  | 1796 | app-server\src\client_quirks.rs
added_in_kd2 | app-server | .md |  | 116 | app-server\src\config\README.md
added_in_kd2 | app-server | .rs |  | 445 | app-server\src\local_watermark.rs
added_in_kd2 | app-server | .md |  | 107 | app-server\src\README.md
added_in_kd2 | app-server | .md |  | 148 | app-server\src\request_processors\account_processor\README.md
added_in_kd2 | app-server | .rs |  | 19229 | app-server\src\request_processors\intent_classifier.rs
added_in_kd2 | app-server | .md |  | 128 | app-server\src\request_processors\README.md
added_in_kd2 | app-server | .md |  | 155 | app-server\src\request_processors\remote_control_processor\README.md
added_in_kd2 | app-server | .rs |  | 9483 | app-server\src\runtime_provenance.rs
added_in_kd2 | app-server | .md |  | 118 | app-server\tests\common\README.md
added_in_kd2 | app-server | .md |  | 109 | app-server\tests\README.md
added_in_kd2 | app-server | .md |  | 117 | app-server\tests\suite\README.md
added_in_kd2 | app-server | .md |  | 122 | app-server\tests\suite\v2\README.md
added_in_kd2 | apply-patch | .md |  | 1003 | apply-patch\AGENTS.md
added_in_kd2 | apply-patch | .md |  | 144 | apply-patch\README.md
added_in_kd2 | apply-patch | .rs |  | 17310 | apply-patch\src\exact_snapshot.rs
added_in_kd2 | apply-patch | .md |  | 108 | apply-patch\src\README.md
added_in_kd2 | apply-patch | .md |  | 121 | apply-patch\tests\fixtures\README.md
added_in_kd2 | apply-patch | .md |  | 159 | apply-patch\tests\fixtures\scenarios\001_add_file\expected\README.md
added_in_kd2 | apply-patch | .md |  | 148 | apply-patch\tests\fixtures\scenarios\001_add_file\README.md
added_in_kd2 | apply-patch | .md |  | 179 | apply-patch\tests\fixtures\scenarios\002_multiple_operations\expected\nested\README.md
added_in_kd2 | apply-patch | .md |  | 170 | apply-patch\tests\fixtures\scenarios\002_multiple_operations\expected\README.md
